index,name,groups,methods
156,prometheus.googleapis.com/kube_deployment_spec_replicas/gauge,['deployment'],[]
157,prometheus.googleapis.com/kube_deployment_status_replicas_available/gauge,['deployment'],[]
158,prometheus.googleapis.com/kube_deployment_status_replicas_updated/gauge,['deployment'],[]
162,prometheus.googleapis.com/kube_horizontalpodautoscaler_status_condition/gauge,[],[]
163,prometheus.googleapis.com/kube_horizontalpodautoscaler_status_current_replicas/gauge,[],[]
164,prometheus.googleapis.com/kube_horizontalpodautoscaler_status_desired_replicas/gauge,[],[]
165,prometheus.googleapis.com/kube_pod_container_status_ready/gauge,['container'],['sum']
167,prometheus.googleapis.com/kube_pod_status_phase/gauge,"['phase', 'pod_phase', 'service']",['sum']
169,prometheus.googleapis.com/scrape_duration_seconds/gauge,[],[]
170,prometheus.googleapis.com/scrape_samples_post_metric_relabeling/gauge,[],[]
171,prometheus.googleapis.com/scrape_samples_scraped/gauge,[],[]
172,prometheus.googleapis.com/scrape_series_added/gauge,[],[]
173,prometheus.googleapis.com/up/gauge,[],[]
152,prometheus.googleapis.com/kube_daemonset_status_desired_number_scheduled/gauge,[],[]
153,prometheus.googleapis.com/kube_daemonset_status_number_misscheduled/gauge,[],[]
154,prometheus.googleapis.com/kube_daemonset_status_number_ready/gauge,[],[]
155,prometheus.googleapis.com/kube_daemonset_status_updated_number_scheduled/gauge,[],[]
166,prometheus.googleapis.com/kube_pod_container_status_waiting_reason/gauge,['container'],['sum']
168,prometheus.googleapis.com/kube_pod_status_unschedulable/gauge,"['pod_phase', 'service']",['sum']
156,prometheus.googleapis.com/kube_daemonset_status_desired_number_scheduled/gauge,[],[]
157,prometheus.googleapis.com/kube_daemonset_status_number_misscheduled/gauge,[],[]
158,prometheus.googleapis.com/kube_daemonset_status_number_ready/gauge,[],[]
159,prometheus.googleapis.com/kube_daemonset_status_updated_number_scheduled/gauge,[],[]
160,prometheus.googleapis.com/kube_deployment_spec_replicas/gauge,['deployment'],[]
161,prometheus.googleapis.com/kube_deployment_status_replicas_available/gauge,['deployment'],[]
162,prometheus.googleapis.com/kube_deployment_status_replicas_updated/gauge,['deployment'],[]
163,prometheus.googleapis.com/kube_horizontalpodautoscaler_spec_max_replicas/gauge,[],[]
164,prometheus.googleapis.com/kube_horizontalpodautoscaler_spec_min_replicas/gauge,[],[]
165,prometheus.googleapis.com/kube_horizontalpodautoscaler_spec_target_metric/gauge,[],[]
166,prometheus.googleapis.com/kube_horizontalpodautoscaler_status_condition/gauge,[],[]
167,prometheus.googleapis.com/kube_horizontalpodautoscaler_status_current_replicas/gauge,[],[]
168,prometheus.googleapis.com/kube_horizontalpodautoscaler_status_desired_replicas/gauge,[],[]
169,prometheus.googleapis.com/kube_pod_container_status_ready/gauge,['container'],['sum']
170,prometheus.googleapis.com/kube_pod_container_status_waiting_reason/gauge,['container'],['sum']
171,prometheus.googleapis.com/kube_pod_status_phase/gauge,"['phase', 'pod_phase', 'service']",['sum']
172,prometheus.googleapis.com/kube_pod_status_unschedulable/gauge,"['pod_phase', 'service']",['sum']
173,prometheus.googleapis.com/scrape_duration_seconds/gauge,[],[]
174,prometheus.googleapis.com/scrape_samples_post_metric_relabeling/gauge,[],[]
175,prometheus.googleapis.com/scrape_samples_scraped/gauge,[],[]
176,prometheus.googleapis.com/scrape_series_added/gauge,[],[]
177,prometheus.googleapis.com/up/gauge,[],[]
